"","year","month","station","dchl","cchl","ddo","do","dspm","cspm","ext","sal","tem","no2","no32","nh","po4","dSi","chl_merge","spm_merge","do_merge","ext_calc_linear","ext_calc_log","ext_merge","light","GPP"
"46",1969,"August","3",NA,NA,NA,NA,83,NA,NA,0.8,21.1333333333333,0.4,NA,NA,3,163,NA,83,NA,3.9084,4.00780084027351,4.00780084027351,48,NA
"47",1969,"August","6",NA,NA,NA,NA,166,NA,NA,3.56666666666667,20.4,0.6,NA,NA,NA,66,NA,166,NA,6.9628,6.12967599964335,6.12967599964335,48,NA
"48",1969,"August","9",NA,NA,NA,NA,NA,NA,NA,7.96666666666667,20,1.1,NA,NA,2.5,40,NA,NA,NA,NA,NA,NA,48,NA
"49",1969,"August","13",NA,NA,NA,NA,23,NA,NA,20.6333333333333,19.4666666666667,1.5,NA,NA,2.5,30,NA,23,NA,1.7004,1.82494770856468,1.82494770856468,48,NA
"50",1969,"August","15",NA,NA,NA,NA,NA,NA,NA,24.5,18.9666666666667,1.4,NA,NA,3,37,NA,NA,NA,NA,NA,NA,48,NA
"51",1969,"August","21",NA,NA,NA,NA,6,NA,NA,30.6666666666667,15.7,0.8,NA,NA,3,30,NA,6,NA,1.0748,0.800788776895504,0.800788776895504,48,NA
"52",1969,"August","24",NA,NA,NA,NA,5,NA,NA,29.5,17.1666666666667,1,NA,NA,3,27,NA,5,NA,1.038,0.716110223624623,0.716110223624623,48,NA
"53",1969,"August","30",NA,NA,NA,NA,NA,NA,NA,26.45,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA
"54",1969,"August","32",NA,NA,NA,NA,33,NA,NA,26.1,21.6,1.3,NA,NA,18.7,NA,NA,33,NA,2.0684,2.2769857175975,2.2769857175975,48,NA
"55",1969,"August","34",NA,NA,NA,NA,43,NA,NA,24.6,22.1,2.1,NA,NA,24.2,133,NA,43,NA,2.4364,2.67810391663568,2.67810391663568,48,NA
"56",1969,"August","36",NA,NA,NA,NA,9,NA,NA,23.75,21.9,3.8,NA,NA,32.3,158,NA,9,NA,1.1852,1.02674339952874,1.02674339952874,48,NA
"57",1969,"October","3",NA,NA,NA,NA,49,NA,NA,0.8,20,0.43,NA,NA,3.2,NA,NA,49,NA,2.6572,2.90135892527906,2.90135892527906,25,NA
"58",1969,"October","6",NA,NA,NA,NA,84,NA,NA,0.9,19.6666666666667,1.1,NA,NA,2.6,120,NA,84,NA,3.9452,4.03733199730761,4.03733199730761,25,NA
"59",1969,"October","9",NA,NA,NA,NA,NA,NA,NA,7.23333333333333,19.2666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"60",1969,"October","13",NA,NA,NA,NA,25,NA,NA,20.5333333333333,18.5666666666667,1.4,NA,NA,3.2,53,NA,25,NA,1.774,1.92065113250827,1.92065113250827,25,NA
"61",1969,"October","15",NA,NA,NA,NA,11,NA,NA,23.3,18.2,1.5,NA,NA,3.2,46,NA,11,NA,1.2588,1.16114104560199,1.16114104560199,25,NA
"62",1969,"October","21",NA,NA,NA,NA,6,NA,NA,30.1,16.6333333333333,1.1,NA,NA,3.2,37,NA,6,NA,1.0748,0.800788776895504,0.800788776895504,25,NA
"63",1969,"October","32",NA,NA,NA,NA,58,NA,NA,28.9666666666667,20.4666666666667,2.8,NA,NA,19.3,100,NA,58,NA,2.9884,3.21730787077728,3.21730787077728,25,NA
"64",1969,"October","34",NA,NA,NA,NA,34,NA,NA,28.5666666666667,20.0666666666667,4.3,NA,NA,22.5,120,NA,34,NA,2.1052,2.31903785273006,2.31903785273006,25,NA
"65",1969,"October","36",NA,NA,NA,NA,18,NA,NA,27.3666666666667,20.9,8.6,NA,NA,32.2,143,NA,18,NA,1.5164,1.57033860331594,1.57033860331594,25,NA
"66",1969,"December","3",NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"67",1969,"December","6",NA,NA,NA,NA,NA,NA,NA,7.4,10.4,0.71,NA,NA,2,216,NA,NA,NA,NA,NA,NA,15,NA
"68",1969,"December","9",NA,NA,NA,NA,NA,NA,NA,14.5,10.7,1.07,NA,NA,2,130,NA,NA,NA,NA,NA,NA,15,NA
"69",1969,"December","13",NA,NA,NA,NA,NA,NA,NA,25.7,11.2,1.07,NA,NA,3.2,92,NA,NA,NA,NA,NA,NA,15,NA
"70",1969,"December","15",NA,NA,NA,NA,NA,NA,NA,23.5,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"71",1969,"December","21",NA,NA,NA,NA,NA,NA,NA,27.3,11.2,1.43,NA,NA,4.5,72,NA,NA,NA,NA,NA,NA,15,NA
"72",1969,"December","30",NA,NA,NA,NA,NA,NA,NA,27.8,11.3,2.86,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,15,NA
"73",1969,"December","32",NA,NA,NA,NA,NA,NA,NA,25.4,11.4,9.28,NA,NA,24.2,120,NA,NA,NA,NA,NA,NA,15,NA
"74",1969,"December","34",NA,NA,NA,NA,NA,NA,NA,24.7,11.5,11.14,NA,NA,28.7,125,NA,NA,NA,NA,NA,NA,15,NA
"75",1969,"December","36",NA,NA,NA,NA,NA,NA,NA,24.7,11.5,14.29,NA,NA,33.6,130,NA,NA,NA,NA,NA,NA,15,NA
"76",1970,"January","13",NA,NA,NA,NA,NA,NA,NA,0.1,11.3,0.71,NA,NA,1.6,238,NA,NA,NA,NA,NA,NA,15,NA
"77",1970,"January","15",NA,NA,NA,NA,NA,NA,NA,0.4,11.3,0.71,NA,NA,2.2,241,NA,NA,NA,NA,NA,NA,15,NA
"78",1970,"January","21",NA,NA,NA,NA,NA,NA,NA,5.3,11.2,NA,NA,NA,2.6,205,NA,NA,NA,NA,NA,NA,15,NA
"79",1970,"January","22",NA,NA,NA,NA,NA,NA,NA,5.3,12.2,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"80",1970,"January","24",NA,NA,NA,NA,NA,NA,NA,10.4,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"81",1970,"January","30",NA,NA,NA,NA,NA,NA,NA,13.5,12.8,2,NA,NA,5.2,113,NA,NA,NA,NA,NA,NA,15,NA
"82",1970,"January","32",NA,NA,NA,NA,NA,NA,NA,15.5,12.9,3.28,NA,NA,7.7,105,NA,NA,NA,NA,NA,NA,15,NA
"83",1970,"January","34",NA,NA,NA,NA,NA,NA,NA,16.6,13,7.86,NA,NA,15.8,100,NA,NA,NA,NA,NA,NA,15,NA
"84",1970,"January","36",NA,NA,NA,NA,NA,NA,NA,15.6,13.2,12.5,NA,NA,23.6,135,NA,NA,NA,NA,NA,NA,15,NA
"85",1970,"February","9",NA,NA,NA,NA,234,NA,NA,0,11.3,NA,NA,NA,NA,NA,NA,234,NA,9.4652,7.56555132621242,7.56555132621242,20,NA
"86",1970,"February","13",NA,NA,NA,NA,121,NA,NA,8.35,11.8,NA,NA,NA,NA,NA,NA,121,NA,5.3068,5.0496199542385,5.0496199542385,20,NA
"87",1970,"February","15",NA,NA,NA,NA,57,NA,NA,4.6,11.6,NA,NA,NA,NA,NA,NA,57,NA,2.9516,3.18318989803568,3.18318989803568,20,NA
"88",1970,"February","32",NA,NA,NA,NA,20,NA,NA,11.8,13.6,NA,NA,NA,NA,NA,NA,20,NA,1.59,1.67510736730568,1.67510736730568,20,NA
"89",1970,"February","34",NA,NA,NA,NA,18,NA,NA,11.3,13.4,NA,NA,NA,NA,NA,NA,18,NA,1.5164,1.57033860331594,1.57033860331594,20,NA
"90",1970,"February","36",NA,NA,NA,NA,16,NA,NA,11,13.6,NA,NA,NA,NA,NA,NA,16,NA,1.4428,1.46095490456786,1.46095490456786,20,NA
"91",1970,"June","6",NA,NA,NA,NA,NA,NA,NA,6.9,21.3,NA,3.3,NA,1.7,NA,NA,NA,NA,NA,NA,NA,53,NA
"92",1970,"June","9",NA,NA,NA,NA,NA,NA,NA,11.9,20.2,NA,3.4,NA,2.4,21,NA,NA,NA,NA,NA,NA,53,NA
"93",1970,"June","13",NA,NA,NA,NA,NA,NA,NA,23.3,19.7,NA,7,NA,3.3,14,NA,NA,NA,NA,NA,NA,53,NA
"94",1970,"June","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,3.8,20,NA,NA,NA,NA,NA,NA,53,NA
"95",1970,"June","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,NA,4.4,NA,NA,NA,NA,NA,NA,NA,53,NA
"96",1970,"June","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,NA,12.4,84,NA,NA,NA,NA,NA,NA,53,NA
"97",1970,"June","32",NA,NA,NA,NA,NA,NA,NA,26.5,21.4,NA,39.1,NA,16.6,95,NA,NA,NA,NA,NA,NA,53,NA
"98",1970,"June","34",NA,NA,NA,NA,NA,NA,NA,28.5,22.5,NA,46.5,NA,22.4,99,NA,NA,NA,NA,NA,NA,53,NA
"99",1970,"June","36",NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,56.8,NA,29.9,117,NA,NA,NA,NA,NA,NA,53,NA
"100",1970,"July","3",NA,NA,NA,NA,NA,NA,NA,3.2,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"101",1970,"July","6",NA,NA,NA,NA,NA,NA,NA,6.6,19.9,NA,10.4,NA,1.9,NA,NA,NA,NA,NA,NA,NA,53,NA
"102",1970,"July","9",NA,NA,NA,NA,NA,NA,NA,14.9,19,NA,8.3,NA,1.7,NA,NA,NA,NA,NA,NA,NA,53,NA
"103",1970,"July","13",NA,NA,NA,NA,NA,NA,NA,26.3,18,NA,24.6,NA,3.5,NA,NA,NA,NA,NA,NA,NA,53,NA
"104",1970,"July","15",NA,NA,NA,NA,NA,NA,NA,30,17,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,53,NA
"105",1970,"July","21",NA,NA,NA,NA,NA,NA,NA,32.1,15.8,NA,19.8,NA,3.7,NA,NA,NA,NA,NA,NA,NA,53,NA
"106",1970,"July","22",NA,NA,NA,NA,NA,NA,NA,31.2,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
"107",1970,"July","24",NA,NA,NA,NA,NA,NA,NA,31.5,18.2,NA,22.8,NA,5.2,NA,NA,NA,NA,NA,NA,NA,53,NA
"108",1970,"July","30",NA,NA,NA,NA,NA,NA,NA,30.5,20.8,NA,29.6,NA,14.4,NA,NA,NA,NA,NA,NA,NA,53,NA
"109",1970,"July","32",NA,NA,NA,NA,NA,NA,NA,30.5,20.9,NA,33.9,NA,15.8,NA,NA,NA,NA,NA,NA,NA,53,NA
"110",1970,"July","34",NA,NA,NA,NA,NA,NA,NA,28.8,21.4,NA,50.2,NA,29.2,NA,NA,NA,NA,NA,NA,NA,53,NA
"111",1970,"July","36",NA,NA,NA,NA,NA,NA,NA,28.2,21.3,NA,56,NA,34.8,NA,NA,NA,NA,NA,NA,NA,53,NA
"112",1970,"September","30",NA,NA,NA,NA,NA,NA,NA,31.15,19.8,NA,17.9,NA,12.8,64,NA,NA,NA,NA,NA,NA,38,NA
"113",1970,"September","32",NA,NA,NA,NA,NA,NA,NA,31.5,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"114",1970,"September","34",NA,NA,NA,NA,NA,NA,NA,30.75,21.2,NA,23.1,NA,19.6,86,NA,NA,NA,NA,NA,NA,38,NA
"115",1970,"September","36",NA,NA,NA,NA,NA,NA,NA,30.6,21.2,NA,36.6,NA,27.7,100,NA,NA,NA,NA,NA,NA,38,NA
"116",1970,"October","3",NA,NA,NA,NA,NA,NA,NA,0.8,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"117",1970,"October","6",NA,NA,NA,NA,71,NA,NA,5.55,19.15,NA,9.4,NA,2.2,97,NA,71,NA,3.4668,3.64193867921176,3.64193867921176,25,NA
"118",1970,"October","9",NA,NA,NA,NA,NA,NA,NA,12.75,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"119",1970,"October","13",NA,NA,NA,NA,NA,NA,NA,23.2,17.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"120",1970,"October","15",NA,NA,NA,NA,NA,NA,NA,25.35,16.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"121",1970,"October","21",NA,NA,NA,NA,6,NA,NA,30.25,14.95,NA,17.8,NA,NA,44,NA,6,NA,1.0748,0.800788776895504,0.800788776895504,25,NA
"122",1970,"October","22",NA,NA,NA,NA,NA,NA,NA,29.25,15.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"123",1970,"October","24",NA,NA,NA,NA,NA,NA,NA,29.2,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"124",1970,"October","30",NA,NA,NA,NA,NA,NA,NA,31.5,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
"125",1970,"December","6",NA,NA,NA,NA,NA,NA,NA,0,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"126",1970,"December","9",NA,NA,NA,NA,NA,NA,NA,5.4,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"127",1970,"December","13",NA,NA,NA,NA,6,NA,NA,13.2,8.9,NA,NA,NA,NA,NA,NA,6,NA,1.0748,0.800788776895504,0.800788776895504,15,NA
"128",1970,"December","15",NA,NA,NA,NA,NA,NA,NA,10.7,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"129",1970,"December","21",NA,NA,NA,NA,NA,NA,NA,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"130",1970,"December","22",NA,NA,NA,NA,6,NA,NA,19,10.1,NA,22.9,NA,3.8,NA,NA,6,NA,1.0748,0.800788776895504,0.800788776895504,15,NA
"131",1970,"December","24",NA,NA,NA,NA,6,NA,NA,17.4,10,NA,24.5,NA,4,NA,NA,6,NA,1.0748,0.800788776895504,0.800788776895504,15,NA
"132",1970,"December","27",NA,NA,NA,NA,NA,NA,NA,19.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"133",1970,"December","30",NA,NA,NA,NA,11,NA,NA,20.4,10,NA,NA,NA,NA,NA,NA,11,NA,1.2588,1.16114104560199,1.16114104560199,15,NA
"134",1970,"December","32",NA,NA,NA,NA,3,NA,NA,19.85,9.5,NA,52,NA,16.3,NA,NA,3,NA,0.9644,0.523584269888023,0.523584269888023,15,NA
"135",1970,"December","34",NA,NA,NA,NA,NA,NA,NA,19.25,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"136",1970,"December","36",NA,NA,NA,NA,NA,NA,NA,18.35,9.5,NA,62.3,NA,22.5,NA,NA,NA,NA,NA,NA,NA,15,NA
"137",1971,"March","3",NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"138",1971,"March","6",NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"139",1971,"March","9",NA,NA,NA,NA,NA,NA,NA,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"140",1971,"March","13",NA,NA,NA,NA,NA,NA,NA,17.5,9.2,NA,25.6,NA,3.3,NA,NA,NA,NA,NA,NA,NA,35,NA
"141",1971,"March","15",NA,NA,NA,NA,NA,NA,NA,14.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"142",1971,"March","22",NA,NA,NA,NA,NA,NA,NA,26,10,NA,26.5,NA,4.3,NA,NA,NA,NA,NA,NA,NA,35,NA
"143",1971,"March","24",NA,NA,NA,NA,NA,NA,NA,24.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"144",1971,"March","30",NA,NA,NA,NA,NA,NA,NA,20.8,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"145",1971,"March","32",NA,NA,NA,NA,NA,NA,NA,19.5,9,NA,62.9,NA,14.4,NA,NA,NA,NA,NA,NA,NA,35,NA
"146",1971,"March","36",NA,NA,NA,NA,NA,NA,NA,18.5,8.8,NA,72.6,NA,23.3,NA,NA,NA,NA,NA,NA,NA,35,NA
"147",1971,"May","6",NA,NA,10,NA,NA,NA,NA,0.9,16,NA,1.2,NA,1.4,221,NA,NA,10,NA,NA,NA,50,NA
"148",1971,"May","9",NA,NA,9,NA,NA,NA,NA,5.5,15.5,NA,6.9,NA,2.3,196,NA,NA,9,NA,NA,NA,50,NA
"149",1971,"May","13",NA,NA,9.2,NA,NA,NA,NA,15.8,15.5,NA,15,NA,2.8,153,NA,NA,9.2,NA,NA,NA,50,NA
"150",1971,"May","15",NA,NA,9.3,NA,NA,NA,NA,18.3,14.8,NA,15.3,NA,3,148,NA,NA,9.3,NA,NA,NA,50,NA
"151",1971,"May","21",NA,NA,9,NA,NA,NA,NA,23,14.5,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,50,NA
"152",1971,"May","22",NA,NA,8.9,NA,NA,NA,NA,25.5,13,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,50,NA
"153",1971,"May","24",NA,NA,8.3,NA,NA,NA,NA,25.8,14.5,NA,18.3,NA,4.3,83,NA,NA,8.3,NA,NA,NA,50,NA
"154",1971,"May","30",NA,NA,8.1,NA,NA,NA,NA,23.6,16.3,NA,NA,NA,NA,68,NA,NA,8.1,NA,NA,NA,50,NA
"155",1971,"May","32",NA,NA,8,NA,NA,NA,NA,23,17.5,NA,NA,NA,NA,56,NA,NA,8,NA,NA,NA,50,NA
"156",1971,"May","34",NA,NA,8,NA,NA,NA,NA,22.9,17.5,NA,37.1,NA,16,66,NA,NA,8,NA,NA,NA,50,NA
"157",1971,"May","36",NA,NA,7.8,NA,NA,NA,NA,22.5,17.5,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,50,NA
"158",1971,"June","3",NA,NA,8.8,NA,44,NA,NA,0.2,20.2,NA,3.2,NA,1.5,219,NA,44,8.8,2.4732,2.71611248632093,2.71611248632093,53,NA
"159",1971,"June","6",NA,NA,9.6,NA,8,NA,NA,1.1,20.5,NA,NA,NA,NA,NA,NA,8,9.6,1.1484,0.955224435103823,0.955224435103823,53,NA
"160",1971,"June","9",NA,NA,9.2,NA,NA,NA,NA,6.1,20.1,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,53,NA
"161",1971,"June","13",NA,NA,8.9,NA,NA,NA,NA,13.2,19.4,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,53,NA
"162",1971,"June","15",NA,NA,9.7,NA,NA,NA,NA,17.35,18.3,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,53,NA
"163",1971,"June","21",NA,NA,8,NA,NA,NA,NA,27.75,15.55,NA,22.8,NA,4.6,88,NA,NA,8,NA,NA,NA,53,NA
"164",1971,"June","22",NA,NA,8.1,NA,NA,NA,NA,27.95,15.6,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,53,NA
"165",1971,"June","24",NA,NA,9.5,NA,NA,NA,NA,27.4,17.4,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,53,NA
"166",1971,"June","30",NA,NA,9.1,NA,10,NA,NA,26.4,19.6,NA,25.5,NA,11.4,NA,NA,10,9.1,1.222,1.09524495497424,1.09524495497424,53,NA
"167",1971,"June","32",NA,NA,9.9,NA,15,NA,NA,26.4,19.9,NA,17.7,NA,12,NA,NA,15,9.9,1.406,1.40428482620167,1.40428482620167,53,NA
"168",1971,"June","34",NA,NA,9.4,NA,2,NA,NA,25.8,20.1,NA,31.3,NA,17.8,NA,NA,2,9.4,0.9276,0.408359486194699,0.408359486194699,53,NA
